2025-07-09 16:02:32,094 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:02:32,189 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:02:35,523 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 16:02:35,523 | ERROR | Barde à Bière | [Music Cog] PyNaCl library needed in order to use voice
2025-07-09 16:05:37,017 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:05:37,112 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:05:39,728 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 16:07:11,841 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:07:11,934 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:07:14,882 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 16:15:56,299 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:15:56,406 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:15:58,946 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 16:33:27,651 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:33:27,820 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:33:30,337 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 16:34:33,978 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:34:34,098 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:34:36,893 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 16:40:40,797 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:40:40,900 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:40:43,427 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 16:43:53,736 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:43:53,839 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:43:56,456 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 16:51:01,968 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 16:51:02,008 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 16:53:51,979 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:53:52,097 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:53:52,097 | ERROR | Barde à Bière | Echec chargement tempCodeRunnerFile.py : Extension 'cogs.tempCodeRunnerFile' raised an error: SyntaxError: invalid syntax (tempCodeRunnerFile.py, line 1)
2025-07-09 16:53:54,676 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 16:54:58,951 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:54:59,043 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:55:01,744 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 16:55:33,236 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 16:55:33,337 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 16:55:35,989 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:00:02,072 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:00:02,529 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 17:00:05,233 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:00:10,480 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 17:00:11,528 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:00:43,344 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:00:43,444 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 17:00:46,151 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:00:51,106 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 17:00:51,112 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:01:12,838 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:01:12,935 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 17:01:15,671 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:01:20,905 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 17:01:20,911 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:18:52,094 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:18:52,098 | INFO | Barde à Bière | Cog chargé : candidature.py
2025-07-09 17:18:52,259 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 17:18:54,810 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:18:59,469 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 17:19:00,525 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:21:42,753 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:21:42,770 | INFO | Barde à Bière | Cog chargé : candidature.py
2025-07-09 17:21:42,858 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 17:21:45,435 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:21:50,027 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 17:21:50,033 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:30:15,473 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:30:15,495 | INFO | Barde à Bière | Cog chargé : candidature.py
2025-07-09 17:30:15,589 | INFO | Barde à Bière | Cog chargé : music.py
2025-07-09 17:30:18,163 | INFO | Barde à Bière | Connecté en tant que Barde-à-Bière#1399 (id=1390728893614522511)
2025-07-09 17:30:23,762 | INFO | Barde à Bière | Audio URL récupérée.
2025-07-09 17:30:23,769 | INFO | Barde à Bière | Lecture lancée.
2025-07-09 17:38:15,069 | INFO | Barde à Bière | Bot démarrage sur Python 3.13.5 / discord.py 2.5.2
2025-07-09 17:38:15,082 | INFO | Barde à Bière | Cog chargé : candidature.py
